S. No.,State/ UT,Fine - Total Acc. - 2014,Fine - Persons Killed - 2014,Fine - Persons Injured - 2014,Mist/fog - Total Acc. - 2014,Mist/fog - Persons Killed - 2014,Mist/fog - Persons Injured - 2014,Cloudy - Total Acc. - 2014,Cloudy - Persons Killed - 2014,Cloudy - Persons Injured - 2014,Light rain - Total Acc. - 2014,Light rain - Persons Killed - 2014,Light rain - Persons Injured - 2014,Heavy rain - Total Acc. - 2014,Heavy rain - Persons Killed - 2014,Heavy rain - Persons Injured - 2014,Flooding of slipways/rivulers - Total Acc. - 2014,Flooding of slipways/rivulers - Persons Killed - 2014,Flooding of slipways/rivulers - Persons Injured - 2014,Hail/sleet - Total Acc. - 2014,Hail/sleet - Persons Killed - 2014,Hail/sleet - Persons Injured - 2014,snow - Total Acc. - 2014,snow - Persons Killed - 2014,snow - Persons Injured - 2014,Strong wind - Total Acc. - 2014,Strong wind - Persons Killed - 2014,Strong wind - Persons Injured - 2014,Dust storm - Total Acc. - 2014,Dust storm - Persons Killed - 2014,Dust storm - Persons Injured - 2014,Very hot - Total Acc. - 2014,Very hot - Persons Killed - 2014,Very hot - Persons Injured - 2014,Very cold - Total Acc. - 2014,Very cold - Persons Killed - 2014,Very cold - Persons Injured - 2014,Other extraordinary weather condition - Total Acc. - 2014,Other extraordinary weather condition - Persons Killed - 2014,Other extraordinary weather condition - Persons Injured - 2014,Fine/Clear - Total Accidents - 2016,Fine/Clear - Persons Killed - 2016,S. No.,State/ UT,Fine - Total Acc. - 2015,Fine - Persons Killed - 2015,Fine - Persons Injured - 2015,Mist/fog - Total Acc. - 2015,Mist/fog - Persons Killed - 2015,Mist/fog - Persons Injured - 2015,Cloudy - Total Acc. - 2015,Cloudy - Persons Killed - 2015,Cloudy - Persons Injured - 2015,Light rain - Total Acc. - 2015,S. No.,State/ UT,Fine - Total Acc. - 2015,Fine - Persons Killed - 2015,Fine - Persons Injured - 2015,Mist/fog - Total Acc. - 2015,Mist/fog - Persons Killed - 2015,Mist/fog - Persons Injured - 2015,Cloudy - Total Acc. - 2015,Cloudy - Persons Killed - 2015,,
11,Jharkhand,1249,751,988,478,199,330,510,218,403,484,235,389,488,252,400,18,8,20,48,28,20,2,0,18,145,54,112,195,92,230,392,180,275,354,183,309,838,428,862,1617,752,12,Jharkhand,358.85,359.0344948,359.2189895,359.4034843,359.5879791,359.7724739,359.9569686,360.1414634,360.3259582,360.510453,12,Jharkhand,326.0011614,325.0333306,324.0654998,323.097669,322.1298382,321.1620074,320.1941766,319.2263458,,
12,Karnataka,27346,6533,34052,1236,245,1899,1696,392,3091,2726,639,3396,1827,464,2338,61,1,49,10,2,12,172,42,214,143,53,196,263,46,309,1521,418,2891,1026,303,1305,5686,1314,7079,28269,7298,13,Karnataka,1821.247561,1737.749477,1654.251394,1570.75331,1487.255226,1403.757143,1320.259059,1236.760976,1153.262892,1069.764808,13,Karnataka,1565.535424,1476.029873,1386.524323,1297.018772,1207.513222,1118.007671,1028.50212,938.9965697,,
13,Kerala,28138,3257,31627,477,28,561,1239,90,1655,3489,388,4020,2903,286,3196,36,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30689,3448,14,Kerala,183.1780488,57.68013937,-67.81777003,-193.3156794,-318.8135889,-444.3114983,-569.8094077,-695.3073171,-820.8052265,-946.3031359,14,Kerala,41.56794425,-84.49201847,-210.5519812,-336.6119439,-462.6719067,-588.7318694,-714.7918321,-840.8517948,,
14,Madhya Pradesh,39335,6262,41623,2228,215,920,1436,342,2203,2655,337,2562,1086,266,1267,0,0,0,214,25,184,21,0,37,44,20,98,235,88,209,912,217,860,720,133,702,4586,664,4670,40433,7046,15,Madhya Pradesh,1428.57561,1305.133798,1181.691986,1058.250174,934.8083624,811.3665505,687.9247387,564.4829268,441.041115,317.5993031,15,Madhya Pradesh,1170.507549,1042.369473,914.2313967,786.0933204,657.955244,529.8171677,401.6790914,273.541015,,
15,Maharashtra,55186,11099,36257,290,79,253,755,161,845,1465,303,998,359,77,303,24,4,32,0,0,0,0,0,0,16,5,18,320,101,255,434,132,238,262,88,232,2516,754,1024,35350,11584,16,Maharashtra,154.8597561,-25.70905923,-206.2778746,-386.8466899,-567.4155052,-747.9843206,-928.5531359,-1109.121951,-1289.690767,-1470.259582,16,Maharashtra,-38.93379791,-219.9639413,-400.9940848,-582.0242282,-763.0543716,-944.084515,-1125.114658,-1306.144802,,
16,Manipur,228,72,379,38,6,66,33,5,61,90,13,160,96,19,156,17,4,25,18,2,28,7,1,15,46,6,75,29,2,47,55,14,99,20,6,51,66,18,133,318,61,17,Manipur,44.85487805,43.98850174,43.12212544,42.25574913,41.38937282,40.52299652,39.65662021,38.7902439,37.9238676,37.05749129,17,Manipur,41.33565621,40.37673878,39.41782135,38.45890392,37.49998649,36.54106907,35.58215164,34.62323421,,
17,Meghalaya,43,7,33,44,12,28,57,19,28,27,8,12,98,41,41,42,10,21,0,0,0,28,9,16,13,4,7,0,0,0,0,0,0,25,3,16,165,28,109,344,73,18,Meghalaya,61.65609756,62.9533101,64.25052265,65.54773519,66.84494774,68.14216028,69.43937282,70.73658537,72.03379791,73.33101045,18,Meghalaya,58.79558653,59.9477622,61.09993788,62.25211355,63.40428923,64.5564649,65.70864057,66.86081625,,
18,Mizoram,88,76,174,14,10,20,0,0,0,30,17,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,69,19,Mizoram,-3.009756098,-3.873170732,-4.736585366,-5.6,-6.463414634,-7.326829268,-8.190243902,-9.053658537,-9.917073171,-10.7804878,19,Mizoram,-1.777003484,-2.567296005,-3.357588526,-4.147881047,-4.938173568,-5.728466089,-6.51875861,-7.30905113,,
19,Nagaland,251,63,172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,18,58,47,26,20,Nagaland,-3.997560976,-4.98815331,-5.978745645,-6.969337979,-7.959930314,-8.950522648,-9.941114983,-10.93170732,-11.92229965,-12.91289199,20,Nagaland,-2.702671312,-3.613537531,-4.524403749,-5.435269967,-6.346136186,-7.257002404,-8.167868622,-9.078734841,,
20,Orissa,3713,1592,3930,670,259,749,691,300,861,1101,396,1273,836,341,983,114,26,131,47,22,66,31,12,35,139,61,184,184,77,242,525,215,617,442,159,557,1155,471,1459,4831,2092,21,Orissa,603.3560976,595.3986063,587.441115,579.4836237,571.5261324,563.5686411,555.6111498,547.6536585,539.6961672,531.738676,21,Orissa,539.9361208,530.0438916,520.1516625,510.2594333,500.3672042,490.474975,480.5827459,470.6905167,,
21,Punjab,3631,2707,2188,891,605,636,246,163,167,281,192,211,199,150,113,59,38,39,9,2,6,0,0,0,56,44,81,84,50,106,394,260,262,374,257,232,167,153,86,5069,3810,22,Punjab,541.547561,539.4400697,537.3325784,535.2250871,533.1175958,531.0101045,528.9026132,526.795122,524.6876307,522.5801394,22,Punjab,489.9593496,486.1257867,482.2922238,478.4586608,474.6250979,470.791535,466.9579721,463.1244092,,
22,Rajasthan,21567,8866,23996,611,328,496,240,77,291,290,126,409,30,20,59,0,0,0,0,0,0,0,0,3,59,17,41,59,32,75,390,173,412,300,182,394,1082,468,1277,20911,9418,23,Rajasthan,751.5597561,679.6839721,607.8081882,535.9324042,464.0566202,392.1808362,320.3050523,248.4292683,176.5534843,104.6777003,23,Rajasthan,610.2973287,536.0010804,461.7048321,387.4085839,313.1123356,238.8160873,164.519839,90.22359074,,
23,Sikkim,58,17,98,47,12,54,0,0,0,0,0,0,26,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,23,169,89,38,24,Sikkim,23.72560976,23.99477352,24.26393728,24.53310105,24.80226481,25.07142857,25.34059233,25.6097561,25.87891986,26.14808362,24,Sikkim,24.02090592,24.29098128,24.56105664,24.831132,25.10120736,25.37128272,25.64135807,25.91143343,,
24,Tamil Nadu,42716,10753,51344,1857,256,1786,2479,415,2600,2909,649,3139,2383,494,2620,77,8,99,39,7,49,834,101,924,420,58,456,1464,205,1343,2784,578,4801,2268,518,2647,7020,1148,5917,64808,15918,25,Tamil Nadu,5020.895122,4980.204878,4939.514634,4898.82439,4858.134146,4817.443902,4776.753659,4736.063415,4695.373171,4654.682927,25,Tamil Nadu,4504.405343,4447.117441,4389.829538,4332.541636,4275.253734,4217.965832,4160.67793,4103.390028,,
25,Telangana,10845,3622,11037,287,148,267,470,139,522,913,355,925,677,290,710,452,120,525,211,56,296,861,281,995,449,139,557,210,60,325,777,232,832,694,212,669,3232,1252,3976,19574,6269,26,Telangana,2367.120732,2393.356446,2419.59216,2445.827875,2472.063589,2498.299303,2524.535017,2550.770732,2577.006446,2603.24216,26,Telangana,2170.392567,2188.850471,2207.308376,2225.76628,2244.224185,2262.68209,2281.139994,2299.597899,,
26,Tripura,551,139,913,39,15,115,43,13,62,29,5,62,15,4,14,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,8,2,17,5,2,11,24,8,26,482,150,27,Tripura,-12.0597561,-15.84076655,-19.621777,-23.40278746,-27.18379791,-30.96480836,-34.74581882,-38.52682927,-42.30783972,-46.08885017,27,Tripura,-12.12078978,-15.7720336,-19.42327742,-23.07452124,-26.72576506,-30.37700889,-34.02825271,-37.67949653,,
27,Uttarakhand,1081,702,1226,95,48,91,33,18,25,37,26,37,18,8,13,2,1,2,0,0,0,0,0,0,5,4,2,0,0,0,21,12,28,59,30,40,59,29,67,1203,691,28,Uttarakhand,61.66707317,57.96829268,54.2695122,50.57073171,46.87195122,43.17317073,39.47439024,35.77560976,32.07682927,28.37804878,28,Uttarakhand,54.76190476,50.95127353,47.1406423,43.33001107,39.51937984,35.70874862,31.89811739,28.08748616,,
28,Uttar Pradesh,11484,5865,7475,1454,860,964,1341,723,919,2311,1205,2031,2064,1113,1727,364,204,330,188,116,242,160,79,114,942,514,769,610,301,657,1716,840,1178,1736,992,1448,6664,3475,4483,14110,7453,29,Uttar Pradesh,2679.003659,2700.627526,2722.251394,2743.875261,2765.499129,2787.122997,2808.746864,2830.370732,2851.994599,2873.618467,29,Uttar Pradesh,2448.246225,2461.066094,2473.885963,2486.705832,2499.5257,2512.345569,2525.165438,2537.985306,,
29,West Bengal,4513,2187,5164,1533,650,942,538,213,534,1152,506,1093,1193,652,1091,81,35,100,159,64,177,33,15,59,192,63,42,196,90,309,616,256,547,356,152,349,2313,992,1611,8423,3734,30,West Bengal,1083.723171,1085.474216,1087.225261,1088.976307,1090.727352,1092.478397,1094.229443,1095.980488,1097.731533,1099.482578,30,West Bengal,985.1196283,983.3699322,981.6202361,979.8705399,978.1208438,976.3711477,974.6214515,972.8717554,,
30,A & N Islands,168,20,209,0,0,0,0,0,0,36,2,54,14,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,15,31,A & N Islands,-0.943902439,-1.818118467,-2.692334495,-3.566550523,-4.440766551,-5.314982578,-6.189198606,-7.063414634,-7.937630662,-8.81184669,31,A & N Islands,1.224157956,0.45606785,-0.312022256,-1.080112363,-1.848202469,-2.616292575,-3.384382681,-4.152472787,,
31,Chandigarh,369,131,335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428,151,32,Chandigarh,17.12073171,16.29372822,15.46672474,14.63972125,13.81271777,12.98571429,12.1587108,11.33170732,10.50470383,9.677700348,32,Chandigarh,17.71080139,16.93323069,16.15566,15.3780893,14.6005186,13.8229479,13.0453772,12.2678065,,
32,D & N Haveli,47,34,50,0,0,0,0,0,0,25,13,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,4,5,4,10,4,5,2,20,14,33,D & N Haveli,-0.234146341,-0.565853659,-0.897560976,-1.229268293,-1.56097561,-1.892682927,-2.224390244,-2.556097561,-2.887804878,-3.219512195,33,D & N Haveli,2.599303136,2.378008265,2.156713394,1.935418524,1.714123653,1.492828782,1.271533911,1.050239041,,
33,Daman & Diu,38,14,49,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,33,34,Daman & Diu,4.120731707,4.091637631,4.062543554,4.033449477,4.004355401,3.975261324,3.946167247,3.917073171,3.887979094,3.858885017,34,Daman & Diu,6.93728223,7.007454825,7.077627421,7.147800016,7.217972612,7.288145207,7.358317802,7.428490398,,
34,Delhi,NA,1656,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3879,880,35,Delhi,NA,1657,NA,NA,12,NA,NA,NA,NA,NA,35,Delhi,NA,1657,NA,NA,12,NA,NA,NA,,
35,Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,36,Lakshadweep,0.364634146,0.377351916,0.390069686,0.402787456,0.415505226,0.428222997,0.440940767,0.453658537,0.466376307,0.479094077,36,Lakshadweep,3.771196283,3.902303973,4.033411663,4.164519353,4.295627043,4.426734732,4.557842422,4.688950112,,
36,Puducherry,453,68,528,1,0,1,42,9,35,128,10,122,61,15,60,0,0,0,12,0,13,82,11,92,95,0,105,0,0,0,120,16,248,103,7,119,14,15,0,1413,183,37,Puducherry,158.1487805,160.8236934,163.4986063,166.1735192,168.8484321,171.5233449,174.1982578,176.8731707,179.5480836,182.2229965,37,Puducherry,149.2857143,151.5581395,153.8305648,156.10299,158.3754153,160.6478405,162.9202658,165.192691,,
Total,Total,310121,83727,312657,17090,5886,14560,15770,4687,18296,26799,7578,27039,18107,5814,18645,2197,871,2117,1431,551,1379,3127,824,3525,4319,1713,4327,5303,1758,5314,16047,5626,18246,12483,4734,12500,47983,15902,46586,345568,102237,Total,Total,23436.42927,22748.21742,22060.00557,21371.79373,20683.58188,19995.37003,19307.15819,18618.94634,17930.73449,17242.52265,Total,Total,23436.42927,22748.21742,22060.00557,21371.79373,20683.58188,19995.37003,19307.15819,18618.94634,,
